loan_amnt,purpose,revenue,dti_n,fico_n,home_ownership_n,emp_length_n,Default
11000,car,90000,28.75,722,RENT,11,0
11000,car,50000,27.1,677,RENT,0,0
11000,car,40000,19.41,662,RENT,9,0
11000,car,37000,17,767,RENT,10,0
11000,car,100000,11.22,742,MORTGAGE,3,1
11000,car,68000,7.75,662,MORTGAGE,4,0
10800,car,40000,15.3,822,MORTGAGE,11,0
10400,car,41000,14.05,737,MORTGAGE,6,0
10075,car,60000,14.98,672,MORTGAGE,3,0
10000,car,45000,33.12,667,OWN,6,0
10000,car,95000,29.75,677,OWN,11,0
10000,car,28000,23.7,662,RENT,11,0
10000,car,65000,19.09,667,RENT,10,0
10000,car,73000,9.68,762,RENT,0,1
10000,car,91000,8.23,687,MORTGAGE,1,0
10000,car,50000,8.11,692,RENT,2,1
10000,car,92000,5.02,667,MORTGAGE,8,0
10000,car,45000,1.73,717,MORTGAGE,0,0
10000,car,110000,1.52,667,RENT,2,0
9600,car,30000,20.28,727,RENT,1,0
9600,car,86760,19.67,717,MORTGAGE,11,0
9600,car,120000,11.25,702,MORTGAGE,7,0
9525,car,27040,16.73,692,RENT,4,0
9000,car,185000,9.52,707,MORTGAGE,11,0
9000,car,48000,4.98,712,OWN,11,1
8475,car,25000,24.34,717,RENT,1,1
8400,car,40000,3.36,667,RENT,9,0
8000,car,41580,30.13,687,MORTGAGE,11,0
8000,car,35000,25.45,667,RENT,1,0
8000,car,59000,23.39,677,RENT,11,0
8000,car,88000,22.13,677,RENT,10,0
8000,car,45000,19.81,807,MORTGAGE,3,0
8000,car,83000,15.59,667,RENT,4,1
7800,car,33600,11.71,662,RENT,0,0
7000,car,50000,18.7,707,MORTGAGE,11,0
7000,car,55000,17.67,732,MORTGAGE,10,0
7000,car,33192,14.97,667,MORTGAGE,7,0
7000,car,45000,13.65,662,OWN,2,0
7000,car,125000,4.32,677,OWN,1,0
6000,car,35000,27.23,667,OWN,11,1
6000,car,23000,18.77,737,RENT,3,0
6000,car,111000,17.56,732,MORTGAGE,11,0
6000,car,50000,16.42,767,MORTGAGE,11,0
6000,car,25000,11.67,667,RENT,11,0
6000,car,50000,3.53,762,OWN,11,0
6000,car,190000,3.33,672,RENT,11,0
5600,car,39000,24.49,662,RENT,2,1
5500,car,85000,22.63,677,MORTGAGE,9,0
5500,car,60000,21.12,682,MORTGAGE,11,0
5475,car,15790.8,18.4,682,OWN,2,0
5400,car,85000,25,722,OWN,11,0
5400,car,80000,5.85,822,MORTGAGE,11,0
5200,car,24000,20.9,712,RENT,2,0
5200,car,51000,20.21,697,MORTGAGE,6,0
5050,car,65000,4.69,662,MORTGAGE,11,0
5000,car,42000,38.66,742,MORTGAGE,1,0
5000,car,102000,37.14,677,MORTGAGE,11,0
5000,car,76500,27.58,707,MORTGAGE,11,0
5000,car,50000,26.24,667,RENT,11,0
5000,car,125000,25.17,702,MORTGAGE,2,0
5000,car,72000,24.82,687,MORTGAGE,11,1
5000,car,66144,23.47,677,OWN,11,1
5000,car,45000,19.65,687,RENT,3,0
5000,car,97200,19.28,732,OWN,9,1
5000,car,35000,12.52,707,RENT,3,0
5000,car,87000,11.77,797,MORTGAGE,11,0
5000,car,38000,8.28,662,RENT,11,0
5000,car,104000,4.04,777,MORTGAGE,11,0
4800,car,90000,10.37,782,MORTGAGE,0,0
4800,car,50000,8.86,752,MORTGAGE,2,0
4675,car,13000,22.53,712,OWN,2,1
4500,car,30000,22.68,662,RENT,2,0
4500,car,31000,5.6,692,MORTGAGE,2,0
4375,car,26000,9.37,662,MORTGAGE,4,0
4350,car,42000,7.43,667,RENT,10,0
4200,car,68000,6.27,847.5,OWN,3,0
4000,car,32000,24.76,692,RENT,1,1
4000,car,24900,23.71,702,RENT,2,0
4000,car,42000,20.23,707,OWN,11,0
4000,car,73000,18.71,672,MORTGAGE,9,0
4000,car,79992,6.14,727,RENT,2,0
4000,car,40000,3.3,682,RENT,0,0
4000,car,35000,0.86,787,OWN,0,1
3950,car,125000,11.04,697,MORTGAGE,11,0
3600,car,39800,15.77,662,OWN,4,0
3600,car,54000,15.44,687,OWN,1,1
3550,car,43000,16.27,677,RENT,10,1
3500,car,200000,9.22,697,MORTGAGE,8,0
3400,car,57408,15.51,717,RENT,2,0
3200,car,19698,13.35,677,RENT,4,1
3175,car,55000,0.55,757,RENT,10,0
3125,car,19000,6.57,672,RENT,0,0
3025,car,35000,4.22,692,RENT,8,0
3000,car,15324,27.72,677,RENT,0,1
3000,car,34900,27.03,702,RENT,0,0
3000,car,55000,25.9,757,RENT,4,0
3000,car,45000,16.27,692,OWN,9,1
3000,car,47000,15.17,697,RENT,8,0
3000,car,53000,14.59,687,RENT,11,0
2950,car,22000,18,687,RENT,0,1
2850,car,55000,6.92,702,RENT,3,0
2800,car,43000,16.89,667,MORTGAGE,6,0
2800,car,65000,5.98,747,RENT,3,0
2600,car,80000,4.97,702,RENT,6,0
2500,car,87000,24.99,697,MORTGAGE,11,0
2000,car,52000,22.99,707,MORTGAGE,4,0
2000,car,31000,16.76,747,RENT,2,0
2000,car,55000,10.63,707,RENT,2,0
2000,car,120000,0.35,702,RENT,11,0
1800,car,11000,29.91,662,RENT,0,1
1600,car,12012,23.52,692,RENT,0,1
1500,car,18607.2,24.9,662,MORTGAGE,0,0
1400,car,15000,36.32,667,RENT,0,1
40000,credit_card,180000,25.23,777,MORTGAGE,11,0
40000,credit_card,92600,20.1,707,MORTGAGE,5,1
40000,credit_card,139000,19.46,812,MORTGAGE,0,0
40000,credit_card,95000,18.13,722,MORTGAGE,1,0
40000,credit_card,50000,16.95,662,RENT,7,1
40000,credit_card,101000,14.29,777,MORTGAGE,7,0
40000,credit_card,200000,13.95,692,OWN,10,0
40000,credit_card,145000,13.56,702,RENT,1,0
40000,credit_card,121000,13.26,682,MORTGAGE,11,0
40000,credit_card,120000,12.15,702,RENT,3,0
40000,credit_card,340000,11.28,802,MORTGAGE,2,1
40000,credit_card,176000,8.4,757,RENT,3,0
40000,credit_card,189000,7.49,787,RENT,11,1
40000,credit_card,250000,6.81,677,MORTGAGE,8,0
39600,credit_card,120000,26.5,737,MORTGAGE,11,1
38000,credit_card,115000,50.96,707,MORTGAGE,1,0
38000,credit_card,167000,40.71,692,MORTGAGE,11,0
37000,credit_card,120000,28.2,737,MORTGAGE,1,0
36400,credit_card,95000,21.5,722,RENT,6,1
36000,credit_card,169000,27.11,727,RENT,4,0
36000,credit_card,650000,17.09,687,MORTGAGE,11,0
36000,credit_card,114000,16.47,732,MORTGAGE,5,0
36000,credit_card,220000,13.22,682,MORTGAGE,8,0
35200,credit_card,460000,3.21,737,MORTGAGE,1,0
35000,credit_card,100000,39.25,687,OWN,11,0
35000,credit_card,200000,37.88,717,MORTGAGE,4,0
35000,credit_card,85000,32.87,667,MORTGAGE,4,1
35000,credit_card,228000,32.58,682,MORTGAGE,11,1
35000,credit_card,85000,31.51,727,MORTGAGE,1,0
35000,credit_card,138000,31.3,712,MORTGAGE,6,0
35000,credit_card,151400,31,732,MORTGAGE,0,1
35000,credit_card,150000,30.93,712,MORTGAGE,11,0
35000,credit_card,111000,30.69,712,RENT,2,0
35000,credit_card,80000,30.53,717,RENT,11,1
35000,credit_card,178000,30.46,667,RENT,3,1
35000,credit_card,154000,30.1,677,MORTGAGE,11,0
35000,credit_card,180000,28.53,707,MORTGAGE,11,0
35000,credit_card,112000,27.86,692,MORTGAGE,11,1
35000,credit_card,105000,27.66,677,MORTGAGE,1,0
35000,credit_card,175000,27.27,697,MORTGAGE,8,0
35000,credit_card,92000,26.94,672,RENT,5,1
35000,credit_card,110000,26.09,712,MORTGAGE,11,0
35000,credit_card,108000,25.89,677,MORTGAGE,5,0
35000,credit_card,105301,25.66,747,RENT,7,0
35000,credit_card,270000,25.39,677,RENT,1,1
35000,credit_card,105000,24.93,732,OWN,5,0
35000,credit_card,98000,24.9,672,MORTGAGE,11,0
35000,credit_card,80000,24.6,717,RENT,11,0
35000,credit_card,115000,24.57,672,MORTGAGE,3,0
35000,credit_card,120000,24.47,672,RENT,6,0
35000,credit_card,125000,24.41,682,MORTGAGE,2,0
35000,credit_card,100000,24.35,682,MORTGAGE,2,1
35000,credit_card,180000,23.79,742,RENT,4,0
35000,credit_card,72000,23.75,722,MORTGAGE,0,0
35000,credit_card,105000,23.51,692,RENT,5,1
35000,credit_card,80000,23.42,737,MORTGAGE,11,0
35000,credit_card,85000,23.25,742,OWN,2,0
35000,credit_card,125000,22.31,697,MORTGAGE,6,0
35000,credit_card,97500,22.04,687,MORTGAGE,0,0
35000,credit_card,94000,21.94,687,OWN,3,0
35000,credit_card,135000,21.55,677,MORTGAGE,11,0
35000,credit_card,130000,21.16,667,MORTGAGE,11,0
35000,credit_card,80000,21.03,662,RENT,1,0
35000,credit_card,196000,21,697,RENT,4,0
35000,credit_card,125000,20.88,732,MORTGAGE,11,0
35000,credit_card,128000,20.86,692,RENT,8,0
35000,credit_card,96000,20.8,687,RENT,0,1
35000,credit_card,350000,20.69,702,MORTGAGE,11,0
35000,credit_card,111000,20.68,702,RENT,11,1
35000,credit_card,84000,20,707,MORTGAGE,6,0
35000,credit_card,200000,19.83,667,OWN,1,0
35000,credit_card,295000,19.55,682,MORTGAGE,7,0
35000,credit_card,260000,19.49,697,OWN,3,0
35000,credit_card,112000,19.39,712,RENT,7,0
35000,credit_card,157000,19.32,717,OWN,1,0
35000,credit_card,82000,19.13,687,MORTGAGE,10,0
35000,credit_card,96000,18.88,757,MORTGAGE,8,0
35000,credit_card,145000,18.86,702,OWN,11,0
35000,credit_card,115000,18.75,692,RENT,9,1
35000,credit_card,120000,18.7,707,MORTGAGE,10,0
35000,credit_card,80000,18.45,682,MORTGAGE,1,0
35000,credit_card,148300,18.19,672,MORTGAGE,4,1
35000,credit_card,92000,18.13,757,MORTGAGE,11,0
35000,credit_card,135000,18.12,712,MORTGAGE,11,0
35000,credit_card,170000,18.11,707,MORTGAGE,0,0
35000,credit_card,115000,18.04,687,RENT,2,1
35000,credit_card,124000,17.82,702,RENT,1,1
35000,credit_card,220000,17.77,757,MORTGAGE,11,0
35000,credit_card,130000,17.4,677,MORTGAGE,11,0
35000,credit_card,99392,16.92,662,RENT,5,1
35000,credit_card,91000,16.85,727,MORTGAGE,11,0
35000,credit_card,89000,16.83,712,OWN,7,0
35000,credit_card,138679,16.73,697,MORTGAGE,11,0
35000,credit_card,180000,16.72,662,OWN,11,1
35000,credit_card,200000,16.63,702,MORTGAGE,11,0
35000,credit_card,154000,16.15,697,MORTGAGE,9,0
35000,credit_card,110000,16.15,717,RENT,11,0
35000,credit_card,90000,16.13,707,MORTGAGE,11,1
35000,credit_card,150000,15.89,707,MORTGAGE,3,0
35000,credit_card,112000,15.66,692,MORTGAGE,4,0
35000,credit_card,300000,15.53,802,MORTGAGE,1,0
35000,credit_card,90000,15.45,677,MORTGAGE,9,0
35000,credit_card,135000,15.04,687,MORTGAGE,2,0
35000,credit_card,125000,15,717,MORTGAGE,1,0
35000,credit_card,82000,14.9,692,RENT,4,0
35000,credit_card,110000,14.65,697,MORTGAGE,11,0
35000,credit_card,102000,14.59,717,MORTGAGE,11,0
35000,credit_card,80000,14.51,677,MORTGAGE,11,1
35000,credit_card,94000,13.85,747,MORTGAGE,11,0
35000,credit_card,130000,13.71,802,MORTGAGE,5,0
35000,credit_card,360000,13.51,707,OWN,4,1
35000,credit_card,131000,13.35,672,RENT,2,0
35000,credit_card,148000,13.15,692,RENT,10,0
35000,credit_card,143000,13.13,677,MORTGAGE,11,0
35000,credit_card,130000,12.91,702,RENT,1,0
35000,credit_card,130000,12.84,702,MORTGAGE,4,0
35000,credit_card,155000,12.76,762,RENT,11,0
35000,credit_card,500000,12.11,667,MORTGAGE,4,0
35000,credit_card,90000,12.11,742,MORTGAGE,11,0
35000,credit_card,74000,12.1,742,MORTGAGE,11,0
35000,credit_card,250000,11.91,747,OWN,3,0
35000,credit_card,225000,11.83,707,RENT,4,0
35000,credit_card,120000,11.65,672,MORTGAGE,11,0
35000,credit_card,155000,11.09,677,MORTGAGE,11,0
35000,credit_card,110000,11.03,717,MORTGAGE,11,0
35000,credit_card,340000,10.74,702,RENT,11,1
35000,credit_card,165000,10.74,717,RENT,1,1
35000,credit_card,225000,10.57,677,RENT,11,0
35000,credit_card,435000,9.93,757,MORTGAGE,3,0
35000,credit_card,285000,9.22,677,MORTGAGE,11,0
35000,credit_card,104000,8.57,682,RENT,11,1
35000,credit_card,132500,8.49,677,RENT,10,0
35000,credit_card,103000,8.24,692,OWN,8,1
35000,credit_card,190000,7.96,672,MORTGAGE,11,0
35000,credit_card,83656.32,7.92,692,MORTGAGE,0,0
35000,credit_card,105000,7.66,677,OWN,11,0
35000,credit_card,200000,7.27,722,MORTGAGE,6,0
35000,credit_card,130000,7.01,767,MORTGAGE,3,0
35000,credit_card,85000,6.97,682,RENT,7,1
35000,credit_card,195000,6.83,742,MORTGAGE,2,0
35000,credit_card,200000,6.48,787,RENT,9,0
35000,credit_card,100000,6.23,662,MORTGAGE,1,0
35000,credit_card,256000,5.62,672,RENT,6,0
35000,credit_card,350000,3.98,707,RENT,11,0
35000,credit_card,140000,1.3,662,RENT,1,1
34800,credit_card,190179,5.65,682,MORTGAGE,5,0
34575,credit_card,200000,29.27,692,MORTGAGE,11,0
34025,credit_card,74000,23.41,672,RENT,5,0
34000,credit_card,68000,28.93,767,MORTGAGE,3,0
34000,credit_card,92000,19.7,682,MORTGAGE,5,0
34000,credit_card,160000,16.41,717,MORTGAGE,3,0
34000,credit_card,250000,6.6,752,MORTGAGE,10,0
33600,credit_card,72000,34.3,737,RENT,6,0
33600,credit_card,110000,30.05,712,OWN,10,0
33600,credit_card,170000,26.53,687,MORTGAGE,8,0
33600,credit_card,90000,24.15,682,RENT,11,1
33375,credit_card,66759,26.05,737,MORTGAGE,4,0
33000,credit_card,129800,35.6,702,MORTGAGE,11,0
33000,credit_card,114186,22.63,677,OWN,8,0
33000,credit_card,85000,15,692,RENT,2,0
33000,credit_card,179500,13.53,687,OWN,7,1
33000,credit_card,250000,9.99,667,RENT,1,0
32950,credit_card,100000,21.19,742,MORTGAGE,11,0
32600,credit_card,100000,16.7,667,RENT,4,0
32500,credit_card,123000,32.4,722,MORTGAGE,5,0
32200,credit_card,195000,14.66,707,MORTGAGE,2,0
32000,credit_card,67000,35.64,702,MORTGAGE,11,0
32000,credit_card,149520,32.6,707,OWN,2,0
32000,credit_card,139000,26.6,687,RENT,1,0
32000,credit_card,110000,25.56,722,MORTGAGE,11,1
32000,credit_card,130000,24.3,722,MORTGAGE,11,1
32000,credit_card,94500,23.24,702,OWN,10,0
32000,credit_card,124000,19.81,737,MORTGAGE,6,0
32000,credit_card,90000,19.26,682,MORTGAGE,6,0
32000,credit_card,117900,19.11,687,MORTGAGE,11,0
32000,credit_card,137000,18.62,687,MORTGAGE,1,1
32000,credit_card,300000,14.89,747,RENT,9,0
32000,credit_card,107687,14.23,727,MORTGAGE,11,1
32000,credit_card,180000,13.42,722,RENT,4,0
32000,credit_card,50000,10.83,777,MORTGAGE,5,0
32000,credit_card,300000,10.37,672,OWN,11,0
32000,credit_card,220000,8,677,OWN,11,0
32000,credit_card,78000,4.56,682,RENT,11,1
31925,credit_card,450000,17.7,692,MORTGAGE,3,0
31825,credit_card,208000,62.7,697,MORTGAGE,7,0
31800,credit_card,123000,45.84,722,RENT,6,1
31200,credit_card,105000,27.47,767,MORTGAGE,11,0
31000,credit_card,122000,19.81,687,RENT,6,1
30950,credit_card,68000,28.01,712,MORTGAGE,11,0
30600,credit_card,115000,29.85,722,MORTGAGE,11,0
30400,credit_card,36000,14.5,667,RENT,8,0
30375,credit_card,95000,28.03,672,MORTGAGE,11,0
30125,credit_card,80000,16.61,667,RENT,4,0
30000,credit_card,67000,42.24,682,MORTGAGE,11,0
30000,credit_card,73000,39.87,687,OWN,11,0
30000,credit_card,106000,34.87,682,MORTGAGE,8,0
30000,credit_card,162000,34.59,697,MORTGAGE,11,0
30000,credit_card,68000,32.32,702,OWN,11,1
30000,credit_card,170000,30.82,707,RENT,4,0
30000,credit_card,110000,28.08,712,MORTGAGE,11,0
30000,credit_card,98000,27.83,772,MORTGAGE,8,0
30000,credit_card,130000,25.97,697,MORTGAGE,11,0
30000,credit_card,86000,25.82,712,MORTGAGE,11,0
30000,credit_card,75000,25.4,692,MORTGAGE,11,1
30000,credit_card,165000,24.87,717,OWN,6,0
30000,credit_card,150000,24.72,712,MORTGAGE,1,0
30000,credit_card,95000,24.07,697,MORTGAGE,2,0
30000,credit_card,149000,23.87,752,OWN,1,0
30000,credit_card,105000,23.45,707,MORTGAGE,11,0
30000,credit_card,170000,23.08,712,RENT,1,0
30000,credit_card,130000,22.23,697,RENT,7,0
30000,credit_card,140000,22.06,692,MORTGAGE,2,1
30000,credit_card,75000,21.81,682,RENT,6,0
30000,credit_card,70000,21.4,667,MORTGAGE,11,0
30000,credit_card,125000,21.3,707,MORTGAGE,8,1
30000,credit_card,87885,21.01,712,MORTGAGE,11,0
30000,credit_card,67000,20.96,662,OWN,1,0
30000,credit_card,81250,20.53,692,RENT,5,1
30000,credit_card,85000,20.36,662,MORTGAGE,10,1
30000,credit_card,100000,20.34,662,MORTGAGE,3,0
30000,credit_card,91000,19.84,677,MORTGAGE,7,0
30000,credit_card,100000,19.63,682,RENT,1,0
30000,credit_card,95000,19.59,727,MORTGAGE,11,0
30000,credit_card,96000,19.34,687,RENT,1,0
30000,credit_card,75000,19.31,672,RENT,10,0
30000,credit_card,228000,19.05,682,MORTGAGE,1,0
30000,credit_card,75000,19.02,732,MORTGAGE,9,0
30000,credit_card,92000,18.71,667,MORTGAGE,0,1
30000,credit_card,94038,17.92,667,RENT,0,1
30000,credit_card,98600,17.44,752,MORTGAGE,10,0
30000,credit_card,92000,17.26,712,MORTGAGE,11,0
30000,credit_card,110000,17.16,672,MORTGAGE,10,0
30000,credit_card,190000,16.87,672,RENT,11,0
30000,credit_card,93000,16.69,722,MORTGAGE,11,0
30000,credit_card,105000,16.46,717,OWN,11,0
30000,credit_card,165000,16.43,672,MORTGAGE,11,0
30000,credit_card,100000,16.27,677,MORTGAGE,11,0
30000,credit_card,172515,16.24,717,MORTGAGE,11,0
30000,credit_card,155000,15.94,662,MORTGAGE,11,0
30000,credit_card,150000,15.59,732,MORTGAGE,9,0
30000,credit_card,125000,15.32,697,MORTGAGE,6,0
30000,credit_card,155000,15.3,727,MORTGAGE,11,1
30000,credit_card,80000,15.17,737,RENT,11,0
30000,credit_card,135200,14.77,677,RENT,1,0
30000,credit_card,70000,14.61,692,MORTGAGE,11,1
30000,credit_card,80000,14.32,672,MORTGAGE,11,0
30000,credit_card,262000,14.13,712,RENT,11,0
30000,credit_card,120000,13.94,727,MORTGAGE,4,0
30000,credit_card,72000,13.64,717,MORTGAGE,9,0
30000,credit_card,119000,13.26,682,MORTGAGE,5,0
30000,credit_card,73000,12.89,702,MORTGAGE,3,0
30000,credit_card,101000,12.88,687,RENT,4,1
30000,credit_card,180000,12.7,697,RENT,1,0
30000,credit_card,100000,12.69,732,MORTGAGE,9,0
30000,credit_card,89000,12.45,697,OWN,11,0
30000,credit_card,100000,12.41,692,MORTGAGE,2,0
30000,credit_card,120000,12.09,677,OWN,4,1
30000,credit_card,80000,11.72,682,MORTGAGE,11,1
30000,credit_card,110000,11.64,667,MORTGAGE,11,0
30000,credit_card,108000,11.41,672,RENT,11,1
30000,credit_card,93999.88,11.11,707,RENT,11,0
30000,credit_card,140000,10.73,772,MORTGAGE,11,0
30000,credit_card,55000,10.47,772,MORTGAGE,8,0
30000,credit_card,285000,9.7,662,MORTGAGE,0,1
30000,credit_card,140000,8.65,672,OWN,1,0
30000,credit_card,125000,8.36,697,MORTGAGE,1,0
30000,credit_card,120000,5.68,672,RENT,9,0
30000,credit_card,200000,5.2,677,RENT,3,0
29750,credit_card,62000,20.13,687,RENT,11,1
29750,credit_card,133878,13.71,672,OWN,11,1
29700,credit_card,118000,19.02,717,MORTGAGE,8,0
29525,credit_card,153000,20.8,747,MORTGAGE,11,0
29450,credit_card,118000,18.94,717,MORTGAGE,11,0
29000,credit_card,90000,19.92,687,MORTGAGE,11,0
29000,credit_card,100000,14.22,677,MORTGAGE,6,1
29000,credit_card,200000,13.84,782,MORTGAGE,0,0
28800,credit_card,66914,29.99,702,RENT,8,0
28800,credit_card,225000,15.97,712,MORTGAGE,1,0
28600,credit_card,75000,24.85,687,MORTGAGE,3,1
28550,credit_card,170000,23.18,722,OWN,4,0
28525,credit_card,120000,13.5,712,OWN,4,1
28400,credit_card,75000,30.53,752,MORTGAGE,11,0
28200,credit_card,93000,25.78,672,MORTGAGE,5,0
28000,credit_card,120000,54.28,697,OWN,11,0
28000,credit_card,80000,32.25,737,MORTGAGE,11,0
28000,credit_card,82000,31.77,697,MORTGAGE,11,0
28000,credit_card,168500,31.59,697,RENT,6,0
28000,credit_card,253500,30.2,677,RENT,5,0
28000,credit_card,245000,29.33,697,RENT,5,0
28000,credit_card,100200,27.59,672,MORTGAGE,11,1
28000,credit_card,77000,27.42,687,RENT,11,0
28000,credit_card,56000,27.14,702,MORTGAGE,11,0
28000,credit_card,205000,25.69,697,MORTGAGE,3,1
28000,credit_card,100000,25.35,677,OWN,6,0
28000,credit_card,150000,24.87,667,RENT,6,0
28000,credit_card,130000,23.39,712,MORTGAGE,5,0
28000,credit_card,60900,22.74,667,RENT,1,0
28000,credit_card,110000,22.45,687,MORTGAGE,11,0
28000,credit_card,88000,22.41,687,MORTGAGE,2,0
28000,credit_card,73000,22.41,682,MORTGAGE,8,0
28000,credit_card,75000,22,692,RENT,1,0
28000,credit_card,132000,20.54,667,MORTGAGE,9,0
28000,credit_card,98000,20.45,662,OWN,3,0
28000,credit_card,99500,19.49,702,RENT,3,0
28000,credit_card,180000,19.02,712,MORTGAGE,4,0
28000,credit_card,78000,18.94,707,RENT,8,0
28000,credit_card,137000,18.6,667,MORTGAGE,4,0
28000,credit_card,85000,18.31,672,MORTGAGE,9,0
28000,credit_card,106000,17.91,667,MORTGAGE,8,0
28000,credit_card,175000,17.86,687,MORTGAGE,3,0
28000,credit_card,145000,17.32,672,MORTGAGE,9,0
28000,credit_card,116000,16.52,712,MORTGAGE,4,0
28000,credit_card,120000,16.25,707,MORTGAGE,3,0
28000,credit_card,85000,15.99,677,MORTGAGE,2,0
28000,credit_card,130000,15.89,702,MORTGAGE,11,0
28000,credit_card,256000,15.58,702,MORTGAGE,10,0
28000,credit_card,140000,15.01,732,MORTGAGE,11,0
28000,credit_card,65000,14.74,672,RENT,11,0
28000,credit_card,75000,12.69,747,MORTGAGE,11,0
28000,credit_card,240000,11.05,707,MORTGAGE,6,0
28000,credit_card,215000,9.69,682,MORTGAGE,11,0
28000,credit_card,133000,9.58,757,RENT,3,0
28000,credit_card,105000,9.56,737,RENT,11,1
28000,credit_card,155000,9.38,687,RENT,1,0
28000,credit_card,140000,8.8,677,MORTGAGE,11,0
28000,credit_card,131607,7.73,682,RENT,4,0
28000,credit_card,85000,7.68,772,OWN,11,0
28000,credit_card,250000,6.79,707,MORTGAGE,3,0
28000,credit_card,325000,0.74,722,MORTGAGE,1,0
27825,credit_card,58000,18.04,702,RENT,11,1
27600,credit_card,60000,22.7,687,MORTGAGE,11,1
27550,credit_card,155000,27.16,682,MORTGAGE,11,0
27500,credit_card,147000,17.5,697,OWN,3,0
27500,credit_card,55000,15.01,772,MORTGAGE,11,0
27500,credit_card,55000,13.7,727,RENT,3,0
27275,credit_card,90000,14.34,662,MORTGAGE,7,0
27225,credit_card,105000,25.12,777,OWN,4,0
27200,credit_card,150000,19.08,687,MORTGAGE,11,0
27000,credit_card,95000,26.23,707,MORTGAGE,11,0
27000,credit_card,88000,21.74,732,OWN,4,0
26675,credit_card,150000,22.5,722,MORTGAGE,11,0
26625,credit_card,98000,20.72,757,RENT,5,0
26600,credit_card,135000,6.01,782,MORTGAGE,11,0
26400,credit_card,60000,24.48,772,MORTGAGE,6,0
26400,credit_card,77200,23.26,677,MORTGAGE,11,0
26400,credit_card,74000,19.17,697,RENT,3,0
26400,credit_card,142000,5.43,717,OWN,4,0
26250,credit_card,75000,16.13,692,MORTGAGE,10,1
26175,credit_card,75000,12.02,772,MORTGAGE,0,0
26125,credit_card,131000,21.03,667,OWN,3,0
26075,credit_card,140000,29.03,672,MORTGAGE,3,0
26000,credit_card,52000,26.33,727,MORTGAGE,10,0
26000,credit_card,70000,22.78,712,MORTGAGE,2,0
26000,credit_card,100000,20.15,762,MORTGAGE,4,0
26000,credit_card,65000,20.01,677,MORTGAGE,4,0
26000,credit_card,52000,19.37,712,RENT,1,1
26000,credit_card,120000,19.23,672,MORTGAGE,11,0
26000,credit_card,116856,16.42,722,MORTGAGE,11,0
26000,credit_card,150000,15.77,697,MORTGAGE,11,1
26000,credit_card,164000,13.04,697,MORTGAGE,11,0
26000,credit_card,237510,11.1,722,MORTGAGE,11,0
26000,credit_card,79000,10.03,697,MORTGAGE,3,0
26000,credit_card,181000,10,762,MORTGAGE,3,0
25750,credit_card,56000,31.83,677,RENT,6,1
25700,credit_card,90000,31.39,722,MORTGAGE,6,0
25675,credit_card,81000,21.84,702,MORTGAGE,11,1
25600,credit_card,60000,23.22,662,OWN,0,1
25200,credit_card,60000,32.68,662,MORTGAGE,11,1
25200,credit_card,243000,20.14,812,MORTGAGE,1,0
25000,credit_card,78000,66.55,662,MORTGAGE,0,0
25000,credit_card,180000,36.28,712,MORTGAGE,11,0
25000,credit_card,77000,36.21,722,OWN,2,1
25000,credit_card,80000,35.31,707,MORTGAGE,1,1
25000,credit_card,80000,32.2,762,MORTGAGE,11,0
25000,credit_card,80000,29.49,717,RENT,11,0
